Sr. No.,PS-SR#,Cable SR#,Description,Times Part No.,Length ,Connector - A,Connector-B
1,PS-RFCBL-1,MG200-SMSM-1.0M-1,Maxgain 200 low loss cable assemblies with both end SMA Male connectors for 1 Meter length,MG200-SMSM-1.0M,1,SMA-Plug,SMA-Plug
2,PS-RFCBL-2,MG200-SMSM-1.0M-2,Maxgain 200 low loss cable assemblies with both end SMA Male connectors for 1 Meter length,MG200-SMSM-1.0M,1,SMA-Plug,SMA-Plug
3,PS-RFCBL-3,MG200-SMSM-1.0M-3,Maxgain 200 low loss cable assemblies with both end SMA Male connectors for 1 Meter length,MG200-SMSM-1.0M,1,SMA-Plug,SMA-Plug
4,PS-RFCBL-4,MG200-SMSM-1.0M-4,Maxgain 200 low loss cable assemblies with both end SMA Male connectors for 1 Meter length,MG200-SMSM-1.0M,1,SMA-Plug,SMA-Plug
5,PS-RFCBL-5,MG200-SMSM-1.0M-5,Maxgain 200 low loss cable assemblies with both end SMA Male connectors for 1 Meter length,MG200-SMSM-1.0M,1,SMA-Plug,SMA-Plug
6,PS-RFCBL-6,MG200-SMSM-2.0M-1,Maxgain 200 low loss cable assemblies with both end SMA Male connectors for 2 Meter length,MG200-SMSM-2.0M,2,SMA-Plug,SMA-Plug
7,PS-RFCBL-7,MG200-SMSM-2.0M-2,Maxgain 200 low loss cable assemblies with both end SMA Male connectors for 2 Meter length,MG200-SMSM-2.0M,2,SMA-Plug,SMA-Plug
8,PS-RFCBL-8,MG200-SMSM-2.0M-3,Maxgain 200 low loss cable assemblies with both end SMA Male connectors for 2 Meter length,MG200-SMSM-2.0M,2,SMA-Plug,SMA-Plug
9,PS-RFCBL-9,IB086-SMSM-1.0F-1,Instabend 086 cable assemblies for 1 feet length with both end SMA Male connectors,IB086-SMSM-1.0F,0.3,SMA-Plug,SMA-Plug
10,PS-RFCBL-10,IB086-SMSM-1.0F-2,Instabend 086 cable assemblies for 1 feet length with both end SMA Male connectors,IB086-SMSM-1.0F,0.3,SMA-Plug,SMA-Plug
11,PS-RFCBL-11,IB086-SMSM-1.0F-3,Instabend 086 cable assemblies for 1 feet length with both end SMA Male connectors,IB086-SMSM-1.0F,0.3,SMA-Plug,SMA-Plug
12,PS-RFCBL-12,IB086-SMSM-1.0F-4,Instabend 086 cable assemblies for 1 feet length with both end SMA Male connectors,IB086-SMSM-1.0F,0.3,SMA-Plug,SMA-Plug
13,PS-RFCBL-13,IB086-SMSM-1.0F-5,Instabend 086 cable assemblies for 1 feet length with both end SMA Male connectors,IB086-SMSM-1.0F,0.3,SMA-Plug,SMA-Plug
14,PS-RFCBL-14,MG200-SMVSMV-0.5M-1,Maxgain 200 TVAC low loss cable assemblies with both end SMA Male connectors for 0.5 Meter length,MG200-SMVSMV-0.5M,0.5,SMA-Plug,SMA-Plug
15,PS-RFCBL-15,MG200-SMVSMV-0.5M-2,Maxgain 200 TVAC low loss cable assemblies with both end SMA Male connectors for 0.5 Meter length,MG200-SMVSMV-0.5M,0.5,SMA-Plug,SMA-Plug
16,PS-RFCBL-16,MG200-SMVSMV-0.5M-3,Maxgain 200 TVAC low loss cable assemblies with both end SMA Male connectors for 0.5 Meter length,MG200-SMVSMV-0.5M,0.5,SMA-Plug,SMA-Plug
17,PS-RFCBL-17,MG200-SMVSMV-0.5M-4,Maxgain 200 TVAC low loss cable assemblies with both end SMA Male connectors for 0.5 Meter length,MG200-SMVSMV-0.5M,0.5,SMA-Plug,SMA-Plug
18,PS-RFCBL-18,MG200-SMVSMV-0.5M-5,Maxgain 200 TVAC low loss cable assemblies with both end SMA Male connectors for 0.5 Meter length,MG200-SMVSMV-0.5M,0.5,SMA-Plug,SMA-Plug
19,PS-RFCBL-19,MG200-SMVSMV-0.5M-6,Maxgain 200 TVAC low loss cable assemblies with both end SMA Male connectors for 0.5 Meter length,MG200-SMVSMV-0.5M,0.5,SMA-Plug,SMA-Plug
20,PS-RFCBL-20,MG200-SMVSMV-0.5M-7,Maxgain 200 TVAC low loss cable assemblies with both end SMA Male connectors for 0.5 Meter length,MG200-SMVSMV-0.5M,0.5,SMA-Plug,SMA-Plug
